Country,Average Consumption,Avg Life Expectancy
India,27166.7,65.4
European Union,16565.2,78.5
China,15633.3,74.3
United States,11010.7,78.1
Brazil,10458.3,73.4
Indonesia,6986.2,67.6
Russia,6023.8,67.8
Pakistan,5508.3,64.5
Mexico,4390.2,75.7
Egypt,3186.7,71.5
Turkey,2850.0,73.9
Iran,2517.2,73.9
Bangladesh,2492.8,69.3
Thailand,2513.3,73.1
Philippines,2206.7,67.6
Vietnam,1839.8,74.8
Algeria,2012.2,73.6
Japan,1967.8,82.5
Colombia,1859.5,73.3
Malaysia,1863.7,73.8
South Africa,1765.2,57.5
United Kingdom,1813.2,80.8
Sudan,1617.8,61.8
Nigeria,1599.2,51.4
South Korea,1567.3,80.5
